date_time,player,mission,answer,correct,points,score,ai_prediction,dangerous_votes,naive_bayes_probability,logistic_regression_probability,random_forest_probability
2026-09-05 22:12:27,efrg,1,dangerous,True,200,200,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 22:12:31,efrg,2,dangerous,True,150,350,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 22:12:34,efrg,3,dangerous,False,0,350,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:12:37,efrg,4,dangerous,True,150,500,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 22:12:40,efrg,5,safe,False,0,500,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 22:12:42,efrg,6,safe,True,100,600,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 22:12:45,efrg,7,dangerous,False,0,600,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 22:12:48,efrg,8,dangerous,True,200,800,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 22:12:51,efrg,9,dangerous,True,100,900,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 22:12:53,efrg,10,safe,True,100,1000,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 23:02:57,fgrht,1,dangerous,True,100,100,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 23:03:49,raghav goyal,1,dangerous,False,0,0,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:03:54,raghav goyal,2,dangerous,False,0,0,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:04:00,raghav goyal,3,dangerous,True,200,200,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 23:04:03,raghav goyal,4,dangerous,True,150,350,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 23:04:06,raghav goyal,5,dangerous,True,200,550,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 23:04:09,raghav goyal,6,safe,True,100,650,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 23:04:11,raghav goyal,7,safe,True,100,750,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 23:04:14,raghav goyal,8,dangerous,True,150,900,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 23:04:17,raghav goyal,9,dangerous,True,100,1000,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 23:04:20,raghav goyal,10,dangerous,True,100,1100,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 23:06:16,pix dust,1,dangerous,True,200,200,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 23:06:24,pix dust,2,dangerous,True,100,300,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 23:06:29,pix dust,3,safe,True,150,450,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:06:37,pix dust,4,dangerous,True,100,550,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 23:06:40,pix dust,5,dangerous,True,150,700,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 23:06:44,pix dust,6,dangerous,True,150,850,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 23:06:48,pix dust,7,safe,True,100,950,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 23:06:52,pix dust,8,safe,True,100,1050,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 23:06:54,pix dust,9,dangerous,True,200,1250,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 23:07:00,pix dust,10,safe,True,100,1350,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:12:19,raghav,1,dangerous,True,100,100,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 23:12:51,raghav,2,dangerous,True,100,200,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 23:13:08,raghav,3,dangerous,True,200,400,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 23:13:24,raghav,4,safe,True,100,500,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:13:43,raghav,5,dangerous,True,150,650,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 23:14:14,raghav,6,safe,False,0,650,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 23:14:25,raghav,7,safe,True,100,750,safe,0,0.36599057453203543,0.4829985402179815,0.36
2026-09-05 23:14:36,raghav,8,safe,True,100,850,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 23:15:01,raghav,9,dangerous,True,200,1050,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 23:15:11,raghav,10,safe,True,150,1200,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
